address_length,application_uuid,apply_amount,apply_month,apply_time,audit_time,bank_address,card_mobile,company_city,company_quhao,contract_id,id_card_address,idno,is_reapply,job,login_origin,login_time,mobile,mobile_city,mobile_company,mobile_province,net_age,r_name1,real_name,register_time,relation1,relation2,relation3,target,tg_location,tid,user_city,user_id,user_province
14,web1282094958720209,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,44190019880730416X,,公司受雇员工,,,18818464442,,2,,,,蒋欣名,2017/12/10 00:00:00,母亲,父亲,朋友,1,测试环境,12345678123456781234567812345678,,,江苏
14,web1282094973815508,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,510322198805263125,,公司受雇员工,,,15225059856,,2,,,,蒋欣名,2017/12/12 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282094981093157,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,420923198902134939,,公司受雇员工,,,15107297444,,2,,,,蒋欣名,2017/12/13 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282094988291869,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,220105199211103261,,公司受雇员工,,,13756674336,,2,,,,蒋欣名,2017/12/14 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282094995564198,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,210726197406210044,,公司受雇员工,,,15977742232,,2,,,,蒋欣名,2017/12/15 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282095002723961,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,350603199502081035,,公司受雇员工,,,15396260353,,3,,,,蒋欣名,2017/12/16 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282095009926436,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,440229199208200033,,公司受雇员工,,,18300067563,,2,,,,蒋欣名,2017/12/17 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282095017214069,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,412726199205108017,,公司受雇员工,,,18781650366,,2,,,,蒋欣名,2017/12/18 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282095024468544,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,510603198607170347,,公司受雇员工,,,18818464442,,2,,,,蒋欣名,2017/12/19 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
14,web1282095031710330,10000,12,2017/06/05 00:00:00,2017/08/24 15:52:01,Nan,15152721527,,0514,,,445381199008056319,,公司受雇员工,,,15152721527,,2,,,,蒋欣名,2017/12/20 00:00:00,母亲,父亲,朋友,1,测试环境,,,,江苏
